graph,iterations,tabu_list_size,max_iterations,max_no_improve,best_dist,avg_dist,avg_steps,time_ms
qa194,100,1,500,100,10415,10927.6,500,66
qa194,100,1,500,200,10435,10927.5,500,46
qa194,100,1,500,500,10297,10900.9,500,64
qa194,100,1,1000,100,10060,10533.7,821.84,92
qa194,100,1,1000,200,10035,10403.8,981.56,111
qa194,100,1,1000,500,10040,10394.9,1000,131
qa194,100,1,1000,1000,9967,10399.5,1000,103
qa194,100,1,2000,100,9921,10549.7,827.75,100
qa194,100,1,2000,200,9809,10351,1201.41,121
qa194,100,1,2000,500,9800,10215.1,1846.24,222
qa194,100,1,2000,1000,9818,10196.8,1998.57,213
qa194,100,1,5000,100,9989,10511.3,834.3,92
qa194,100,1,5000,200,9929,10357.7,1156.33,116
qa194,100,1,5000,500,9790,10193.9,2055.42,246
qa194,100,1,5000,1000,9721,10053.8,3594.7,385
qa194,100,1,10000,100,9998,10512.1,828.08,89
qa194,100,1,10000,200,9876,10347.4,1131.26,135
qa194,100,1,10000,500,9790,10175.2,2069.76,234
qa194,100,1,10000,1000,9768,10041.8,3748.89,426
qa194,100,10,500,100,10465,10922.3,500,56
qa194,100,10,500,200,10429,10951.7,500,67
qa194,100,10,500,500,10498,10964.9,500,57
qa194,100,10,1000,100,10082,10543.7,791.96,81
qa194,100,10,1000,200,9933,10417.6,961.15,111
qa194,100,10,1000,500,9913,10379.6,1000,102
qa194,100,10,1000,1000,10023,10408.1,1000,108
qa194,100,10,2000,100,10040,10555.8,811.98,100
qa194,100,10,2000,200,9840,10349.9,1117.6,126
qa194,100,10,2000,500,9894,10244.2,1814.07,211
qa194,100,10,2000,1000,9719,10215.9,1993.84,214
qa194,100,10,5000,100,10001,10509.1,824.36,114
qa194,100,10,5000,200,9953,10350.4,1140.11,116
qa194,100,10,5000,500,9919,10207.6,2112.55,236
qa194,100,10,5000,1000,9690,10063.9,3551.76,390
qa194,100,10,10000,100,10000,10529.2,806.97,92
qa194,100,10,10000,200,9845,10384.3,1128.07,120
qa194,100,10,10000,500,9780,10225.3,1901.38,204
qa194,100,10,10000,1000,9686,10076.6,3496.36,376
qa194,100,20,500,100,10510,10977.5,500,49
qa194,100,20,500,200,10252,10938,500,68
qa194,100,20,500,500,10458,10938.5,500,50
qa194,100,20,1000,100,9862,10566.6,772.27,90
qa194,100,20,1000,200,9893,10435.8,964.46,109
qa194,100,20,1000,500,9886,10440.8,1000,124
qa194,100,20,1000,1000,9993,10424.3,1000,114
qa194,100,20,2000,100,10093,10545,810.83,102
qa194,100,20,2000,200,9972,10412.6,1124.27,120
qa194,100,20,2000,500,9825,10217.6,1764.24,196
qa194,100,20,2000,1000,9848,10223.5,1983.81,223
qa194,100,20,5000,100,9821,10486.8,794.29,87
qa194,100,20,5000,200,9947,10385.8,1134.13,114
qa194,100,20,5000,500,9856,10233,2016.21,209
qa194,100,20,5000,1000,9727,10072.4,3464.89,362
qa194,100,20,10000,100,10056,10505.1,802.68,103
qa194,100,20,10000,200,9978,10383.4,1121.56,119
qa194,100,20,10000,500,9812,10211.4,1936.14,223
qa194,100,20,10000,1000,9697,10088.8,3518.87,379
qa194,100,30,500,100,10397,10958.8,500,64
qa194,100,30,500,200,10346,10924.3,500,58
qa194,100,30,500,500,10068,10944.7,500,65
qa194,100,30,1000,100,10041,10581,778.43,108
qa194,100,30,1000,200,10016,10481,943.18,103
qa194,100,30,1000,500,10003,10440.6,1000,123
qa194,100,30,1000,1000,10076,10420.8,1000,124
qa194,100,30,2000,100,10074,10596.3,762.23,88
qa194,100,30,2000,200,9945,10429.1,1100.52,146
qa194,100,30,2000,500,9777,10262.4,1716.3,187
qa194,100,30,2000,1000,9841,10245.6,1991.49,226
qa194,100,30,5000,100,10095,10590.7,769.24,90
qa194,100,30,5000,200,9963,10409.8,1097.1,118
qa194,100,30,5000,500,9887,10234.5,2025.95,233
qa194,100,30,5000,1000,9735,10121.1,3282.28,354
qa194,100,30,10000,100,10011,10561.6,791.77,97
qa194,100,30,10000,200,9814,10409.4,1083.52,128
qa194,100,30,10000,500,9804,10221.1,1979.11,229
qa194,100,30,10000,1000,9819,10115.4,3482.6,324
qa194,100,40,500,100,10204,10927.4,500,55
qa194,100,40,500,200,10460,10991,500,55
qa194,100,40,500,500,10491,10936,500,75
qa194,100,40,1000,100,10120,10579,777.27,97
qa194,100,40,1000,200,10022,10457.1,959.05,133
qa194,100,40,1000,500,10003,10428.4,1000,127
qa194,100,40,1000,1000,9918,10485.4,1000,123
qa194,100,40,2000,100,10047,10605.8,774.21,95
qa194,100,40,2000,200,9966,10461.5,1046.21,135
qa194,100,40,2000,500,9870,10246.8,1787.23,205
qa194,100,40,2000,1000,9885,10247.1,1995.34,220
qa194,100,40,5000,100,10093,10557,773.72,94
qa194,100,40,5000,200,10027,10406.4,1076.63,127
qa194,100,40,5000,500,9760,10236.3,1957.1,206
qa194,100,40,5000,1000,9877,10124.4,3140,411
qa194,100,40,10000,100,10052,10585.4,772.24,103
qa194,100,40,10000,200,9975,10392.7,1111.81,125
qa194,100,40,10000,500,9858,10262.8,1994.17,221
qa194,100,40,10000,1000,9810,10113.4,3249.02,357
qa194,100,50,500,100,10308,10941.6,500,78
qa194,100,50,500,200,10387,10981,500,74
qa194,100,50,500,500,10448,10990,500,68
qa194,100,50,1000,100,9968,10616.5,758.99,100
qa194,100,50,1000,200,9937,10527.1,930.66,102
qa194,100,50,1000,500,10039,10477.4,1000,115
qa194,100,50,1000,1000,10074,10461.9,1000,128
qa194,100,50,2000,100,10074,10589.4,731.86,112
qa194,100,50,2000,200,10053,10448.2,1057.31,122
qa194,100,50,2000,500,9891,10274.2,1752.72,189
qa194,100,50,2000,1000,9890,10233.3,1991.97,232
qa194,100,50,5000,100,10065,10604.7,756.38,93
qa194,100,50,5000,200,9758,10458.3,1041.93,137
qa194,100,50,5000,500,9836,10330.6,1872.28,233
qa194,100,50,5000,1000,9822,10145.2,3190.09,348
qa194,100,50,10000,100,10033,10596.9,751.25,94
qa194,100,50,10000,200,9870,10474,1037.67,114
qa194,100,50,10000,500,9742,10264.7,1876.67,219
qa194,100,50,10000,1000,9836,10164.6,3211.03,400
qa194,100,100,500,100,10501,11001.4,499.83,76
qa194,100,100,500,200,10423,10972.1,500,61
qa194,100,100,500,500,10452,10979.2,500,61
qa194,100,100,1000,100,10164,10710.4,715.91,107
qa194,100,100,1000,200,10021,10558.6,910.37,109
qa194,100,100,1000,500,10047,10511.5,1000,111
qa194,100,100,1000,1000,9855,10499,1000,112
qa194,100,100,2000,100,10349,10735.5,714.69,92
qa194,100,100,2000,200,10062,10532,989.33,110
qa194,100,100,2000,500,9864,10376.2,1626.05,170
qa194,100,100,2000,1000,9946,10295.5,1979.13,240
qa194,100,100,5000,100,10099,10678.4,749.47,105
qa194,100,100,5000,200,9954,10521.4,993.42,133
qa194,100,100,5000,500,9898,10343.3,1763.45,196
qa194,100,100,5000,1000,9907,10231.5,3060.87,375
qa194,100,100,10000,100,10147,10715.6,712.56,97
qa194,100,100,10000,200,10039,10498.3,991.1,119
qa194,100,100,10000,500,10037,10344,1804.53,235
qa194,100,100,10000,1000,9790,10224.6,3057.17,350
qa194,100,200,500,100,10302,11081.8,499.45,69
qa194,100,200,500,200,10459,11090.9,500,63
qa194,100,200,500,500,10352,11049.3,500,58
qa194,100,200,1000,100,10396,10854.3,655.89,86
qa194,100,200,1000,200,10274,10712.6,855.63,99
qa194,100,200,1000,500,10242,10666.3,999.69,142
qa194,100,200,1000,1000,10170,10632.9,1000,117
qa194,100,200,2000,100,10293,10830.9,657.3,76
qa194,100,200,2000,200,9942,10701,895.44,129
qa194,100,200,2000,500,10116,10514.7,1556.39,187
qa194,100,200,2000,1000,10057,10423.9,1946.39,246
qa194,100,200,5000,100,10259,10823.4,649.71,82
qa194,100,200,5000,200,10244,10738.1,888.07,130
qa194,100,200,5000,500,10181,10521.4,1502.38,179
qa194,100,200,5000,1000,10047,10394.2,2571.67,304
qa194,100,200,10000,100,10301,10832.1,667.46,88
qa194,100,200,10000,200,10181,10683.9,918.85,150
qa194,100,200,10000,500,10130,10495.4,1546.65,240
qa194,100,200,10000,1000,10045,10415.6,2664.66,412
qa194,100,500,500,100,10519,11099.3,498.66,75
qa194,100,500,500,200,10654,11114.2,500,86
qa194,100,500,500,500,10554,11107.6,500,82
qa194,100,500,1000,100,10519,11017.5,594.64,105
qa194,100,500,1000,200,10381,10967.1,728.97,124
qa194,100,500,1000,500,10371,10920,984.44,126
qa194,100,500,1000,1000,10357,10912.1,1000,144
qa194,100,500,2000,100,10528,11008.1,593.43,91
qa194,100,500,2000,200,10384,10953.2,742.61,96
qa194,100,500,2000,500,10472,10880,1155.58,132
qa194,100,500,2000,1000,10288,10819.4,1671.24,204
qa194,100,500,5000,100,10351,10960.9,599.8,92
qa194,100,500,5000,200,10495,10983.8,722.98,101
qa194,100,500,5000,500,10476,10904.2,1098.61,132
qa194,100,500,5000,1000,10150,10836,1853.45,252
qa194,100,500,10000,100,10370,10978.8,606.06,90
qa194,100,500,10000,200,10574,10948.2,733.06,88
qa194,100,500,10000,500,10510,10878,1129.14,146
qa194,100,500,10000,1000,10348,10804.8,1926.55,246
qa194,100,1000,500,100,10493,11116.4,498.38,56
qa194,100,1000,500,200,10439,11098.2,500,71
qa194,100,1000,500,500,10474,11125.8,500,74
qa194,100,1000,1000,100,10406,10965.8,599.25,93
qa194,100,1000,1000,200,10366,10926.5,736.36,101
qa194,100,1000,1000,500,10495,10974.7,983.4,149
qa194,100,1000,1000,1000,10512,10932.5,1000,136
qa194,100,1000,2000,100,10509,11004.9,606.68,87
qa194,100,1000,2000,200,10410,10955.2,746.9,104
qa194,100,1000,2000,500,10304,10940.6,1040.43,137
qa194,100,1000,2000,1000,10622,10961.4,1549.29,219
qa194,100,1000,5000,100,10535,10989.5,591.87,80
qa194,100,1000,5000,200,10487,10929.2,740.01,93
qa194,100,1000,5000,500,10425,10924,1041.1,132
qa194,100,1000,5000,1000,10409,10961.9,1567.07,194
qa194,100,1000,10000,100,10371,10971.6,607.2,67
qa194,100,1000,10000,200,10453,10917.1,745.28,89
qa194,100,1000,10000,500,10509,10972.1,1057.57,131
qa194,100,1000,10000,1000,10451,10984.4,1546.86,174
